"id","exerciseName","exerciseCategory","video","instructions","likes_count"
15,Calf Presses,Calves,https://www.youtube.com/v/PLtAYmjLwqQ?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Sit in the angled leg press machine and place the balls of your feet on the bottom edge of the foot platform about 4-6 inches apart; place the safety pins in the highest slots.



Straighten your legs to lift the weight sled, turn the sled catches out, and keep legs straight. With your legs straight throughout the movement, let the weight sled push your toes toward you until you feel a good stretch in your calves.



Press your toes until your feet are fully extended, hold it there a moment, and then return to the starting position.



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
16,Close-Grip Bench Press,Triceps,https://www.youtube.com/v/u-iaRAN7CZI?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Lie on a flat bench with your feet on the ground and your shoulders about 3-4 inches down the bench from the uprights.



Grip the bar so that there are about 6 inches between your thumbs. Space your hands evenly using the markings on the bar. Lift the bar off the rack to a point directly above your shoulder joints.



Lower the bar to the center of your chest (Pectorals) with your upper arms moving directly out to the sides; touch your chest lightly. Press the bar up to the starting position; do not lock your elbows at the top.



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.



Do not bounce the bar off your chest and always keep your buttocks on the bench.",0
17,Close-Grip Pulldowns,Back,https://www.youtube.com/v/noNLhUP6sS4?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Adjust the seat height to a spot where your legs are secure under the padded stabilizer and attach a straight bar to an overhead pulley.



Stand up and grip the bar with your palms facing you about 4-6 inches apart.



Straighten your arms and return to the sitting position with your legs locked under the pads. Arch your back, being sure your to maintain the arch throughout the entire movement.



Pull the bar in front of your neck to a point at the upper part of your chest, making sure to pull your elbows down and backward along your sides. Slowly reverse the movement and return to starting position.



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
18,Concentration Curls,Biceps,https://www.youtube.com/v/H7uPmpnQ1qQ?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Grip one dumbbell with your right hand in the center of the handle and sit on the end of a flat bench.



Place the back of your right upper arm against the inner part of your right thigh down near your knee making the forearm perpendicular to the thigh and let your arm hang down straight. With your palm facing directly away from your thigh, curl the dumbbell up until it reaches shoulder level.



Reverse the movement and return to the starting position; repeat with the other arm. The entire motion for each arm should be performed in a smooth, controlled manner that lasts about 3 seconds with the downward movement no faster than the upward.",0
19,Cross-Bench Dumbbell Pullovers,Back,https://www.youtube.com/v/jw_Oy6fJT2c?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Place the dumbbell on its end on one end of a flat bench. Carefully position yourself perpendicular to the bench, with your upper back and shoulders supported on the bench, and feet planted firmly on the floor.



Using both hands, grasp the dumbbell at one end with your palms up and interlocked in such a way that the weight is securely cradled in your hands and supported under one end.



Begin the movement with the dumbbell over your head (towards the ceiling) with your arms extended. Slowly lower the weight behind your head as far as possible without discomfort, being sure to keep your elbows fixed at about a 20 degree bend throughout the movement. Reverse the movement and return to the starting position.



The entire motion should be performed in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.



Do not manipulate your low back or leg positioning to perform the exercise. If you do, the weight is probably too heavy to perform the exercise correctly.",0
21,Crunches,Abdominals,https://www.youtube.com/v/2yOFvV-NSeY?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Lie on the floor with your knees bent at about 60 degrees and your feet flat on the floor about shoulder width or, if feasible, with your lower legs lying across a flat bench. 

 

Place your hands behind your head without interlocking your fingers. 

 

Slowly curl your upper body towards your hips until your shoulder blades come off the floor, while simultaneously pulling your hips toward your shoulders; return to the starting position. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
22,Deadlifts,Lower Back,https://www.youtube.com/v/gyvcqcY1VqY?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Take a shoulder width grip on the barbell with an alternating palm grip (one palm up and the other palm down). Your feet should be about shoulder width apart and your knees should be bent at the starting position.



Your lower and upper back should remain straight and your head up throughout the movement. Begin by sticking your chest forward to properly align your back. Straightening your legs and then erect your torso, as if you were standing up from a chair; you should end the movement in the standing position with your chest sticking out.



Return to the starting position by slowly lowering the weight toward the ground. The entire motion should be performed in a smooth, controlled manner that lasts about 4 seconds, with the downward movement no faster than the upward.",0
23,Decline Barbell Press,Chest,https://www.youtube.com/v/FS2HNP9gkGI?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Lie on a decline bench with your feet hooked under the restraining bar and a slight arch in your low back. 

 

Grip the bar about 3-4 inches wider than shoulder width and space your hands evenly using the markings on the bar. 

 

Lift the bar off the rack to a point directly above your shoulder joints. 

 

Lower the bar to the lower part of your chest (pectorals) with your upper arms moving directly out to the sides; touch your lower chest lightly. 

 

Press the bar up to the starting position; do not lock your elbows at the top. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward. 

 

Do not bounce the bar off your chest and always keep your buttocks on the bench.",0
24,Donkey Calf Raises,Calves,https://www.youtube.com/v/aHOudYjiB9A?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Adjust the low back pad to fit your body and position yourself in the machine so that the low back pad is as far down on your back as close to your buttocks as possible. 

 

Place your forearms on the pad in front of you and grip the available hands. 

 

Place your feet on the foot rest about 4-6 inches apart, keep your knees straight, and keep a good arch in your low back and your head up throughout the movement. 

 

Maintaining the angle in your legs throughout the movement, lower your heels until you feel a good stretch in your calves. 

 

Lift your legs up as high as possible onto your toes, hold it there a moment, and then return to the starting position. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
25,Duck Hack Squats,Thighs,https://www.youtube.com/v/Wq2yv1Z7cVY?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"With your back on the sliding pad, place your feet on the center of the platform with your heels about 3-5 inches apart and your toes pointing out at about a 45-60 degree angle; place your hands on the handles located above your shoulders. 

 

Straighten your legs, unhook the safety catches, and then bend your legs slightly, being sure to keep all weight on your heels and your toes lifted up off the platform. 



Keep a good arch in your low back, with your back and abdominal muscles tensed throughout the movement. 

 

Squat down until your thighs are slightly below parallel to the floor, being sure to keep your knees moving out in the same direction as your feet and all the weight toward your heels; your toes will be on the platform for the lower half of the movement. 

 

Reverse the movement and as you approach the starting position your toes should lift up off the platform. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 4 seconds, with the downward movement no faster than the upward. 

 

Do not bounce at the bottom of the movement and never lock your knees at the top.",0
26,Dumbbell Bench Press,Chest,https://www.youtube.com/v/PxFFJedPiqI?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Sit on the end of a flat bench with the dumbbells resting on their ends on your knees Roll your body back onto the bench, which should enable you to comfortably move the dumbbells to a point directly above you shoulder joints (this move should be reversed at the end of the exercise, with your knees pulled in to the dumbbells and then rolling up to a sitting position). 



Your hands should be about 3-4 inches wider than shoulder width, with your palms facing in the direction of your feet. 

 

Lower the weights, with your upper arms moving directly out to the sides, to a point as low as possible without any discomfort and with your hands aligned with the center of your chest. 

 

Press the dumbbells upward toward the center of your body. Do not allow the dumbbells to touch and do not lock your elbows at the top. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward. 

 

Do not use a bouncing motion at the bottom of the movement and always keep your buttocks on the bench.",0
27,Dumbbell Flyes,Chest,https://www.youtube.com/v/eozdVDA78K0?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Sit on the end of a flat surface, bed or floor, with the dumbbells resting on their ends on your knees. 

 

Roll your body back onto the surface, which should enable you to comfortably move the dumbbells to a point directly above you shoulder joints (this move should be reversed at the end of the exercise, with your knees pulled in to the dumbbells and then rolling up to a sitting position). Your palms should face one another and you should have a 20-30 degree bend in your elbows, which is maintained throughout the movement. 

 

Lower the dumbbells down and out to the sides in a semi-circular arc to a point low as possible without going below parallel to your shoulders and without any discomfort. Be sure to keep your arms perpendicular to your torso. 

 

Return the dumbbells to the starting position along the same arc. The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
29,Dumbbell Lunges,Thighs,https://www.youtube.com/v/aU7g9-y2M9A?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Hold the dumbbells at your sides with your arms straight. 

 

With your feet about 8 inches apart and your toes pointing straight ahead, step forward about 2-2+ feet with your right leg. 

 

Bend your right leg and lower your body until your left knee is about 3-4 inches from the ground, keeping the natural curve of your spine by tensing your abdominal and lower back muscles; your right knee should be about 3-4 inches in front of your right ankle. 

 

Straighten your right leg and return to the starting position; repeat with the opposite leg. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 4 seconds, with the downward movement no faster than the upward.",0
30,Dumbbell Pullovers,Back,https://www.youtube.com/v/EUzql814R9A?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Place the dumbbell on its end on one end of a flat bench or bed.    If you have a flat bench, carefully position yourself perpendicular to the bench, with your upper back and shoulders supported on the bench, and feet planted firmly on the floor.    



If you are using a bed, lie on the bed with your entire body except your neck and head which should be off the edge.    Using both hands, grasp the dumbbell at one end with your palms up and interlocked in such a way that the weight is securely cradled in your hands and supported under one end.    



Begin the movement with the dumbbell over your head (towards the ceiling) with your arms extended.    Slowly lower the weight behind your head as far as possible without discomfort, being sure to keep your elbows fixed at about a 20 degree bend throughout the movement.    



Reverse the movement and return to the starting position.    The entire motion should be performed in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
31,Dumbbell Shrugs,Trapezius,https://www.youtube.com/v/Oq11qwqH0X8?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Stand with your feet shoulder width apart, holding two dumbbells in front of your upper thighs with your palms facing your body; keep a good arch in your back and your head up throughout the movement. 

 

Relax your shoulders and then shrug your shoulders up and back as far as possible trying to touch your ears to your shoulders; hold the position for a moment and return to the starting position. 

 

Keep your torso still and your arms straight throughout the movement. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
32,Dumbbell Side Bends,Abdominals,https://www.youtube.com/v/_I3aQFEoCN4?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Stand with your feet slightly wider than shoulder width and grab a dumbbell in your right hand. 

 

Place your left hand behind your head and bend your torso to the right until you feel a good stretch in your left oblique muscles, being sure to keep your hips stationary. Bend your torso back to the left as far as possible and then return to the starting position. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 2 seconds to each side, with the downward movement no faster than the upward. 

 

After completing your reps for one side, reverse sides and repeat.",0
33,Dumbbell Squats,Thighs,https://www.youtube.com/v/Fl01lQv3DrM?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Stand with your feet about shoulder width apart with your toes pointing forward at their natural angle. 

 

Hold the dumbbells at your sides with your arms straight and palms facing your body. 

 

Maintain the natural curve of your spine by tensing your abdominal and lower back muscles. Keep your head up, looking forward, throughout the exercise. 

 

Squat down until your buttocks are slightly below parallel, being sure to keep your torso fixed in the most erect position possible throughout the movement and your knees moving out in the same direction as your feet. 

 

Reverse the movement and return to the starting position. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward. 

 

Do not bounce at the bottom of the movement and never lock your knees at the top.",0
34,Dumbbell Upright Rows,Trapezius,https://www.youtube.com/v/isRU_p4Yn-o?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Stand with your feet shoulder width apart and, with your palms facing your body, hold two dumbbells in front of your upper thighs. 



With your elbows above the level of your hands throughout the movement, lift the dumbbells along your body until your elbows reach shoulder height. 

 

Keep your torso still throughout the movement and pull your shoulders back at the top of the movement. 



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
35,Flat Bench Dumbbell Flyes,Chest,https://www.youtube.com/v/ot6HHKTbQC8?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Sit on the end of a flat bench with the dumbbells resting on their ends on your knees Roll your body back onto the bench, which should enable you to comfortably move the dumbbells to a point directly above you shoulder joints (this move should be reversed at the end of the exercise, with your knees pulled in to the dumbbells and then rolling up to a sitting position). 

 

Your palms should face one another and you should have a 20-30 degree bend in your elbows, which is maintained throughout the movement. 

 

Lower the dumbbells down and out to the sides in a semi-circular arc to a position that is parallel to your shoulders, being sure to keep your arms perpendicular to your torso. 

 

Do not bring your arms below parallel. 

 

Return the dumbbells to the starting position along the same arc. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
37,Front Dumbbell Raises,Shoulders,https://www.youtube.com/v/hhF2-u6nSzw?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Grab two dumbbells and, standing with your feet about shoulder width apart, rest the dumbbells on the front of your upper thighs. 

 

Maintaining about a 10-15 degree bend in your elbows and with palms facing the floor throughout the movement, lift the dumbbells up in a semicircular arc, until they reach shoulder level in front of your shoulders. 

 

Keep your torso still during the entire movement. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
39,Good Mornings,Lower Back,https://www.youtube.com/v/bUpOZnhS4FI?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Rest a barbell behind your head on your shoulders and trapezius, not on your neck. Have a little bend in your knees, and take a comfortably wide grip on the bar. 

 

Stand with your feet about shoulder width apart with your toes pointing forward at their natural angle. 

 

With a good arch in your back and your head up throughout the movement, slowly bend at the waist until your torso is slightly below parallel with the ground. 

 

Reverse the movement and return to the starting position. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 4 seconds, with the downward movement no faster than the upward .",0
41,Hanging Knee Tucks,Abdominals,https://www.youtube.com/v/j5b9-vuWPf0?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Start by hanging from a dip bar with your arms slightly wider than shoulder width apart and your legs hanging straight down; if available, use arm straps to eliminate the stress on your forearms. 

 

Raise your knees as high as you can into your chest and then lower your knees back down to the starting position; do not allow your body to swing. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 4 seconds, with the downward movement no faster than the upward.",0
42,Hanging Leg Raises,Abdominals,https://www.youtube.com/v/wr4-McBOJCg?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Start by hanging from a chin-up bar with your arms slightly wider than shoulder width apart and your legs hanging straight down; use the arm straps (if available) to eliminate the stress on your forearms. <br />
&nbsp;<br />
With your legs in a fixed, slightly bent position throughout the movement, raise them up towards the ceiling until they are slightly below parallel to the floor; do not allow your body to swing. <br />
&nbsp;<br />
Reverse the movement and return to the starting point. <br />
&nbsp;<br />
The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.&nbsp; <br />
<br />",0
43,Back Extension: Plank Hold with Lift,Lower Back,https://www.youtube.com/v/Xuvayx-vEbE?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Get into the standard pushup position. 

 

Lift your right hand and your left leg off the floor at the same time. Hold for 3 to 5 seconds. That’s one repetition. 

 

Return to the starting position, then repeat, lifting your left hand and right leg this time.",0
44,Incline Barbell Press,Chest,https://www.youtube.com/v/V26uyhZDu98?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Lie on a incline bench with your feet on the floor or the foot pad and a slight arch in your lower back.



Grip the bar about 3-4 inches wider than shoulder width and space your hands evenly using the markings on the bar.    Lift the bar off the rack to a point directly above your shoulder joints. 



Lower the bar to the upper part of your chest (Pectorals) with your upper arms moving directly out to the sides; touch your upper chest lightly.    Press the bar up to the starting position; do not lock your elbows at the top.    



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.    Do not bounce the bar off your chest and always keep your buttocks on the bench.",0
45,Incline Dumbbell Curls,Biceps,https://www.youtube.com/v/o0wHS7YoVwo?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Grip each dumbbell with your hand in the center of the handle and lie on the incline bench (35-40°) with your feet flat on the floor or platform while maintaining the natural curve in your low back. 

 

Start with your arms hanging straight down towards the floor with the palms of your hands facing forward. 

 

Curl the dumbbells up until they reach shoulder level, being sure to keep your upper arms in a fixed position, perpendicular to the floor, throughout the movement. 

 

Reverse the movement and return to the starting position. 

 

The entire motion should be performed in a smooth, controlled manner that lasts about 3 seconds with the downward movement no faster than the upward.",0
46,Incline Dumbbell Flyes,Chest,https://www.youtube.com/v/6Z8wNYEIXuE?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Sit on the seat of an incline bench with the dumbbells resting on their ends on your knees. 

 

Rock your body back onto the incline bench, which should enable you to comfortably move the dumbbells to a point directly above you shoulder joints (this move should be reversed at the end of the exercise, with your knees pulled in to the dumbbells and then rocking up to a sitting position). 

 

Your palms should face one another and you should have a 20-30 degree bend in your elbows, which is maintained throughout the movement. 

 

Lower the dumbbells down and out to the sides in a semi-circular arc to a position that is parallel to your shoulders, being sure to keep your arms perpendicular to your torso. 

 

Do not bring your arms below parallel. 

 

Return the dumbbells to the starting position along the same arc. 

 

The entire motion should be done in a smooth manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
47,Incline Dumbbell Press,Chest,https://www.youtube.com/v/8iPEnn-ltC8?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Sit on the seat of an incline bench with the dumbbells resting on their ends on your knees. 

 

Rock your body back onto the incline bench, which should enable you to comfortably move the dumbbells to a point directly above you shoulder joints (this move should be reversed at the end of the exercise, with your knees pulled in to the dumbbells and then rocking up to a sitting position). 

 

Your hands should be about 3-4 inches wider than shoulder width, with your palms facing in the direction of your feet. 

 

Lower the weights, with your upper arms moving directly out to the sides, to a point as low as possible without any discomfort and with your hands aligned with the center of your chest. 

 

Press the dumbbells to the starting position; do not lock your elbows at the top. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward. 

 

Do not use a bouncing motion at the bottom of the movement and always keep your buttocks on the bench.",0
48,Incline Sit-Ups,Abdominals,https://www.youtube.com/v/MAlHDO7t_24?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Sit on the incline bench or inclined abdominal board and place your feet under the pads. Lie back onto the incline bench with your arms across your chest or hands behind your head. 

 

Curl your upper body up until it is at angle slightly less than 90 degrees to the floor; return to the starting position. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
